連番1	連番2	連番3	所要区分	親指図番号	割当(WBS)	受注伝票	入出庫番号	入庫保管場所	親品目コード	親品目テキスト	原価センタテキスト	出荷伝票	出庫数量	親MRP管理者	親指図計画開始日	親指図計画終了日	BOM明細番号	子指図番号	子品目コード	子品目テキスト	所要日	所要残数	在庫数	在庫引当	所要引当残数	子MRP管理者	購買発注番号	子指図計画開始日	子指図計画終了日	計画数量	計画引当	計画引当残数	作業区４	作業区５	払出完了	進捗	工程(子)	C	A	C,A以外	作業0020時間(分)	作業0030時間(分)	作業0040時間(分)	作業0050時間(分)	作業0060時間(分)	検査	標準原価	指図テキスト
0000000265	0000000006		製造指図出庫	10133557			8173114-0011	1210	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ			10.000	BL0	2026/02/09	2026/02/20	0040		P00A0719317	IK-7193E S17 LCD制御PCB	2026/02/09	10.000	30.000	0.000	10.000																						32,643.000000	
0000000266	0000000007		製造指図出庫	10133558			8173115-0011	1210	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ			10.000	BL0	2026/03/06	2026/03/19	0040		P00A0719317	IK-7193E S17 LCD制御PCB	2026/03/06	10.000	30.000	0.000	10.000																						32,643.000000	
0000000267	0000000001	0000000001	在庫転送				8103560-0100	1142					22.000					50119991	P00A0719700	WK-7197A KP CTRL	2025/07/22	16.000	0.000	0.000	16.000	PC1		2025/06/30	2025/07/18	20.000	16.000	4.000	A0801	A0802	○	＊＊○○○○○○		21,520	600	560	0.000	35.000	28.000	3.000	18.000		19,897.000000	
0000000268	0000000002	0000000001	在庫転送				8173320-0100	1142					5.000					50119991	P00A0719700	WK-7197A KP CTRL	2025/11/17	5.000	0.000	0.000	5.000	PC1		2025/06/30	2025/07/18	20.000	4.000	0.000	A0801	A0802	○	＊＊○○○○○○		21,520	600	560	0.000	35.000	28.000	3.000	18.000		19,897.000000	
0000000269	0000000002	0000000002	在庫転送				8173320-0100	1142					5.000					50120624	P00A0719700	WK-7197A KP CTRL	2025/11/17	5.000	0.000	0.000	5.000	PC1		2025/10/24	2025/11/14	2.000	1.000	1.000	A0801	A0802	○	○○○○○○○○		2,152	60	56	0.000	35.000	28.000	3.000	18.000		19,897.000000	
0000000270	0000000001	0000000001	在庫転送				7993112-0100	1142					60.000					50118448	P00A0719800	WK-7198B DDC PCB	2025/07/22	18.000	0.000	0.000	18.000	PC1		2025/06/26	2025/07/16	20.000	18.000	2.000	A0801	A0802	＊	＊＊＊＊＊○○○		2,020	2,080	1,380	0.000	32.000	13.000	1.000	50.000	E	13,956.000000	
0000000271	0000000002	0000000001	在庫転送				8103589-0100	1142					83.000					50118448	P00A0719800	WK-7198B DDC PCB	2025/07/22	83.000	0.000	0.000	83.000	PC1		2025/06/26	2025/07/16	20.000	2.000	0.000	A0801	A0802	＊	＊＊＊＊＊○○○		2,020	2,080	1,380	0.000	32.000	13.000	1.000	50.000	E	13,956.000000	
0000000272	0000000002	0000000002	在庫転送				8103589-0100	1142					83.000					50119979	P00A0719800	WK-7198B DDC PCB	2025/07/22	83.000	0.000	0.000	83.000	PC1		2025/06/27	2025/07/17	85.000	81.000	4.000	A0801	A0802	＊	＊＊＊＊＊○○○		8,585	8,840	5,865	0.000	32.000	13.000	1.000	50.000	E	13,956.000000	
0000000273	0000000003	0000000002	在庫転送				8162559-0100	1142					1.000					50119979	P00A0719800	WK-7198B DDC PCB	2025/07/22	1.000	0.000	0.000	1.000	PC1		2025/06/27	2025/07/17	85.000	1.000	3.000	A0801	A0802	＊	＊＊＊＊＊○○○		8,585	8,840	5,865	0.000	32.000	13.000	1.000	50.000	E	13,956.000000	
0000000274	0000000004	0000000002	在庫転送				8164672-0100	1142					20.000					50119979	P00A0719800	WK-7198B DDC PCB	2025/11/18	20.000	0.000	0.000	20.000	PC1		2025/06/27	2025/07/17	85.000	3.000	0.000	A0801	A0802	＊	＊＊＊＊＊○○○		8,585	8,840	5,865	0.000	32.000	13.000	1.000	50.000	E	13,956.000000	
0000000275	0000000004	0000000003	在庫転送				8164672-0100	1142					20.000					50120052	P00A0719800	WK-7198B DDC PCB	2025/11/18	20.000	0.000	0.000	20.000	PC1		2025/10/24	2025/11/14	40.000	17.000	23.000	A0801	A0802	○	○○○○○○○－		4,040	4,160	2,760	0.000	32.000	13.000	1.000	50.000	E	13,956.000000	SSL向け製品:10133451 の先行PCB指図発行
0000000276	0000000005	0000000003	在庫転送				8173380-0100	1142					20.000					50120052	P00A0719800	WK-7198B DDC PCB	2025/11/18	20.000	0.000	0.000	20.000	PC1		2025/10/24	2025/11/14	40.000	20.000	3.000	A0801	A0802	○	○○○○○○○－		4,040	4,160	2,760	0.000	32.000	13.000	1.000	50.000	E	13,956.000000	SSL向け製品:10133451 の先行PCB指図発行
0000000277	0000000001	0000000001	在庫転送				8162505-0100	1142					26.000					50120626	P00A0719902	WK-7199A U02 GATE RoHS	2025/10/29	5.000	0.000	0.000	5.000	PC1		2025/10/02	2025/10/23	8.000	5.000	3.000	A0801	A0802	○	○○○○○○○○		536	8	104	0.000	24.000	20.000	4.000	0.000	B	4,734.000000	
0000000278	0000000001	0000000001	在庫転送				8103509-0100	1142					84.000					50119975	P00A0719906	WK-7199A S06 IGBT GATE	2025/07/23	41.000	0.000	0.000	41.000	PC1		2025/07/18	2025/09/22	272.000	41.000	231.000	A0801	A0802	＊	＊＊＊○＊○○○		19,656	0	4,056	0.000	24.000	20.000	4.000	0.000		3,546.000000	
0000000279	0000000002	0000000001	在庫転送				8164641-0100	1142					40.000					50119975	P00A0719906	WK-7199A S06 IGBT GATE	2025/09/24	40.000	0.000	0.000	40.000	PC1		2025/07/18	2025/09/22	272.000	40.000	191.000	A0801	A0802	＊	＊＊＊○＊○○○		19,656	0	4,056	0.000	24.000	20.000	4.000	0.000		3,546.000000	
0000000280	0000000003	0000000001	在庫転送				8173251-0100	1142					40.000					50119975	P00A0719906	WK-7199A S06 IGBT GATE	2025/09/24	40.000	0.000	0.000	40.000	PC1		2025/07/18	2025/09/22	272.000	40.000	151.000	A0801	A0802	＊	＊＊＊○＊○○○		19,656	0	4,056	0.000	24.000	20.000	4.000	0.000		3,546.000000	
0000000281	0000000004	0000000001	在庫転送				8191119-0100	1142					40.000					50119975	P00A0719906	WK-7199A S06 IGBT GATE	2025/11/07	40.000	0.000	0.000	40.000	PC1		2025/07/18	2025/09/22	272.000	40.000	111.000	A0801	A0802	＊	＊＊＊○＊○○○		19,656	0	4,056	0.000	24.000	20.000	4.000	0.000		3,546.000000	
0000000282	0000000005	0000000001	在庫転送				8191120-0100	1142					40.000					50119975	P00A0719906	WK-7199A S06 IGBT GATE	2025/11/17	40.000	0.000	0.000	40.000	PC1		2025/07/18	2025/09/22	272.000	40.000	71.000	A0801	A0802	＊	＊＊＊○＊○○○		19,656	0	4,056	0.000	24.000	20.000	4.000	0.000		3,546.000000	
0000000283	0000000001	0000000001	在庫転送				8103561-0100	1142					20.000					50119992	P00A0720000	WK-7200 OUTPUT FILTER	2025/07/23	13.000	0.000	0.000	13.000	PC1		2025/09/01	2025/09/22	24.000	13.000	11.000	A0801	A0802	○	○○○○○○○○		0	360	528	0.000	0.000	0.000	0.000	27.000		3,932.000000	
